Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
TGX202109,RES2.5,B,2021-09-14T03:11:44,-149.3557,60.0235,300,1,297.7,1,5.7345,5.7336,3.2718,3.2678,3.9778,0.0073,0.0478,2.6813,3.2079,1.4165,1.3113,1.2048,0.0369,1.5424,68.0051,0.0,126.287,97.609,41.261,31.88,79.55,31.6685,33.2562,33.2111,26.2073,26.1717
TGX202109,RES2.5,B,2021-09-14T03:14:38,-149.3557,60.0235,300,1,253.61,2,5.7337,5.7328,3.2667,3.2664,2.9852,0.0136,0.043,2.6445,4.224,1.082,1.3702,1.5153,0.0249,0.4414,89.5529,0.0011,134.666,135.616,43.986,44.295,59.7,31.2073,33.2207,33.2187,26.1793,26.1779
TGX202109,RES2.5,B,2021-09-14T03:17:07,-149.3557,60.0235,300,1,203.16,3,5.746,5.7453,3.2603,3.26,4.3265,0.0067,0.0405,2.6193,4.2987,1.0831,1.3924,1.5436,0.0187,0.3712,91.1367,0.0,137.342,138.393,44.854,45.196,86.53,30.8917,33.1611,33.159,26.1307,26.1291
TGX202109,RES2.5,B,2021-09-14T03:19:08,-149.3557,60.0235,300,1,151.85,4,5.5079,5.5073,3.1839,3.1837,4.3253,0.0095,0.0398,2.1592,4.4517,1.083,1.857,2.0882,0.017,0.2313,94.3816,0.0004,209.696,211.953,67.796,68.524,86.51,25.1339,32.5556,32.5535,25.6801,25.6785
TGX202109,RES2.5,B,2021-09-14T03:21:45,-149.3557,60.0235,300,1,125.97,5,5.3335,5.3328,3.1202,3.1199,4.352,0.0066,0.0392,1.797,4.4706,1.0837,2.0792,2.3485,0.0156,0.2143,94.7827,0.0,245.599,248.032,78.759,79.536,87.04,20.6009,32.013,32.0109,25.2708,25.2693
TGX202109,RES2.5,B,2021-09-14T03:22:54,-149.3557,60.0235,300,1,101.66,6,6.0102,6.0093,3.1501,3.1499,4.4029,0.0084,0.0396,1.4869,4.4159,1.0823,2.1845,2.4701,0.0163,0.2636,93.6234,0.0003,256.866,259.243,83.513,84.282,88.06,16.719,31.7222,31.7203,24.9622,24.9608
TGX202109,RES2.5,B,2021-09-14T03:24:14,-149.3557,60.0235,300,1,76.2,7,7.6285,7.6301,3.276,3.2759,4.5691,0.0122,0.0403,1.3577,4.5329,1.0836,2.1636,2.4457,0.0182,0.159,96.1033,0.0009,243.043,245.718,81.954,82.858,91.38,15.102,31.6157,31.6134,24.6691,24.6671
TGX202109,RES2.5,B,2021-09-14T03:25:20,-149.3557,60.0235,300,1,49.9,8,10.8607,10.8612,3.5171,3.5168,4.4674,0.1661,0.0427,0.6336,4.6269,1.1524,2.379,2.6869,0.0243,0.0768,98.0975,0.0401,253.377,256.039,91.506,92.466,89.35,6.0406,31.26,31.2564,23.8888,23.8859
TGX202109,RES2.5,B,2021-09-14T03:26:54,-149.3557,60.0235,300,1,40.94,9,11.2265,11.2261,3.5145,3.5143,4.8128,0.2934,0.0416,0.5701,4.6216,1.0823,2.3827,2.6988,0.0216,0.0815,97.9839,0.0853,252.265,255.977,91.601,92.947,96.26,5.2451,30.9282,30.9264,23.5672,23.5659
TGX202109,RES2.5,B,2021-09-14T03:27:45,-149.3557,60.0235,300,1,31.08,10,11.1717,11.1713,3.3915,3.3914,4.9544,0.5767,0.0401,0.6692,4.5274,1.1537,2.2794,2.5793,0.0176,0.1639,95.9865,0.2489,240.234,244.028,86.422,87.785,99.09,6.4857,29.7784,29.7773,22.6834,22.6827
TGX202109,RES2.5,B,2021-09-14T03:28:54,-149.3557,60.0235,300,1,20.04,11,12.3818,12.3817,3.3401,3.3399,4.6005,1.0285,0.0442,0.2692,4.5412,1.0838,2.4074,2.7253,0.0278,0.1517,96.2787,0.8739,252.583,256.719,92.279,93.789,92.01,1.4789,28.3458,28.3444,21.3586,21.3575
TGX202109,RES2.5,B,2021-09-14T03:29:45,-149.3557,60.0235,300,1,9.41,12,12.6772,12.6768,3.0761,3.0754,4.6438,1.7019,0.0826,0.1967,4.2387,1.1194,2.5128,2.847,0.1241,0.4274,89.8658,4.4632,269.815,273.932,97.347,98.827,92.88,0.5723,25.6806,25.6746,19.2445,19.24
TGX202109,RES2.5,B,2021-09-14T03:30:49,-149.3557,60.0235,300,1,2.57,13,12.5401,12.531,3.0124,3.0119,4.5709,2.4207,0.096,0.1964,3.9111,1.0814,2.526,2.8635,0.1575,0.7493,82.9176,23.78,272.879,277.798,97.83,99.576,91.42,0.5679,25.1879,25.1898,18.8882,18.8914
TGX202109,MID10,B,2021-09-14T19:24:13,-145.9883,58.911,4443,2,102.15,1,5.8388,5.8379,3.262,3.2618,4.04,0.4056,0.0568,2.2576,4.6548,1.0823,1.7579,1.9786,0.0595,0.0528,98.6888,0.1377,190.301,193.032,62.274,63.166,80.8,26.3655,33.1397,33.1383,26.1025,26.1016
TGX202109,MID10,B,2021-09-14T19:29:15,-145.9883,58.911,4443,2,47.63,2,6.1786,6.1781,3.23,3.2298,4.3469,1.3235,0.0546,1.5173,4.6374,1.0835,2.401,2.7286,0.0542,0.0678,98.3189,1.8193,285.195,288.687,93.61,94.754,86.94,17.1002,32.4782,32.4764,25.5384,25.537
TGX202109,MID10,B,2021-09-14T19:30:13,-145.9883,58.911,4443,2,40.85,3,6.7822,6.778,3.2774,3.277,4.3467,1.78,0.0629,1.4038,4.6153,1.0826,2.4257,2.7572,0.0748,0.0869,97.8507,5.3616,283.243,287.158,94.244,95.537,86.93,15.6799,32.4321,32.4315,25.4251,25.4253
TGX202109,MID10,B,2021-09-14T19:31:21,-145.9883,58.911,4443,2,31.65,4,11.3392,11.3203,3.6483,3.6464,4.4325,2.0288,0.1286,0.7193,4.4054,1.1314,2.5099,2.8456,0.239,0.2732,93.3988,9.5797,262.668,265.487,96.436,97.431,88.65,7.1122,32.1451,32.1432,24.493,24.4949
